N,alpha,cutoff
1,0.001,6.314
1,0.005,4.5737
1,0.01,3.9102
1,0.05,2.331
2,0.001,2.9138
2,0.005,2.1534
2,0.01,1.8213
2,0.05,1.0781
3,0.001,1.966
3,0.005,1.4326
3,0.01,1.2206
3,0.05,0.6986
4,0.001,1.4093
4,0.005,1.041
4,0.01,0.8867
4,0.05,0.5156
5,0.001,1.1393
5,0.005,0.8343
5,0.01,0.6974
5,0.05,0.4055
6,0.001,0.9475
6,0.005,0.6899
6,0.01,0.5832
6,0.05,0.336
7,0.001,0.8117
7,0.005,0.5968
7,0.01,0.4911
7,0.05,0.2846
8,0.001,0.7124
8,0.005,0.5113
8,0.01,0.4289
8,0.05,0.2474
9,0.001,0.6168
9,0.005,0.455
9,0.01,0.3853
9,0.05,0.219
10,0.001,0.5637
10,0.005,0.4007
10,0.01,0.3435
10,0.05,0.1983
11,0.001,0.5086
11,0.005,0.3689
11,0.01,0.3101
11,0.05,0.1797
12,0.001,0.4486
12,0.005,0.3304
12,0.01,0.2766
12,0.05,0.1637
13,0.001,0.4141
13,0.005,0.309
13,0.01,0.2588
13,0.05,0.1516
14,0.001,0.4008
14,0.005,0.2892
14,0.01,0.2414
14,0.05,0.1401
15,0.001,0.3687
15,0.005,0.2667
15,0.01,0.2228
15,0.05,0.1307
16,0.001,0.3518
16,0.005,0.2522
16,0.01,0.2106
16,0.05,0.1224
17,0.001,0.3204
17,0.005,0.2346
17,0.01,0.1981
17,0.05,0.1143
18,0.001,0.3034
18,0.005,0.2245
18,0.01,0.1887
18,0.05,0.1087
19,0.001,0.2959
19,0.005,0.2134
19,0.01,0.1775
19,0.05,0.1025
20,0.001,0.2684
20,0.005,0.1996
20,0.01,0.169
20,0.05,0.0988
21,0.001,0.2615
21,0.005,0.1907
21,0.01,0.1598
21,0.05,0.092
22,0.001,0.2466
22,0.005,0.1832
22,0.01,0.1544
22,0.05,0.0894
23,0.001,0.2309
23,0.005,0.1744
23,0.01,0.1472
23,0.05,0.0845
24,0.001,0.2329
24,0.005,0.1686
24,0.01,0.1409
24,0.05,0.0805
25,0.001,0.2189
25,0.005,0.1583
25,0.01,0.1342
25,0.05,0.0781
26,0.001,0.2066
26,0.005,0.1527
26,0.01,0.1283
26,0.05,0.0745
27,0.001,0.2005
27,0.005,0.1465
27,0.01,0.124
27,0.05,0.0717
28,0.001,0.1946
28,0.005,0.1404
28,0.01,0.1188
28,0.05,0.0688
29,0.001,0.1861
29,0.005,0.1375
29,0.01,0.1161
29,0.05,0.0668
30,0.001,0.1842
30,0.005,0.1328
30,0.01,0.1118
30,0.05,0.0645
31,0.001,0.174
31,0.005,0.1291
31,0.01,0.1082
31,0.05,0.0621
32,0.001,0.1743
32,0.005,0.1237
32,0.01,0.1032
32,0.05,0.0603
33,0.001,0.1652
33,0.005,0.1197
33,0.01,0.1009
33,0.05,0.0585
34,0.001,0.1629
34,0.005,0.1171
34,0.01,0.0972
34,0.05,0.0564
35,0.001,0.1583
35,0.005,0.1148
35,0.01,0.0963
35,0.05,0.0556
36,0.001,0.15
36,0.005,0.1099
36,0.01,0.0921
36,0.05,0.0534
37,0.001,0.1461
37,0.005,0.1071
37,0.01,0.0896
37,0.05,0.0517
38,0.001,0.1419
38,0.005,0.1041
38,0.01,0.088
38,0.05,0.0507
39,0.001,0.1429
39,0.005,0.1014
39,0.01,0.0849
39,0.05,0.0491
40,0.001,0.1387
40,0.005,0.0993
40,0.01,0.0834
40,0.05,0.048
41,0.001,0.1327
41,0.005,0.0978
41,0.01,0.0819
41,0.05,0.0471
42,0.001,0.1292
42,0.005,0.094
42,0.01,0.0794
42,0.05,0.0459
43,0.001,0.1251
43,0.005,0.0916
43,0.01,0.0771
43,0.05,0.0446
44,0.001,0.1205
44,0.005,0.0897
44,0.01,0.0758
44,0.05,0.0437
45,0.001,0.1205
45,0.005,0.0867
45,0.01,0.0737
45,0.05,0.0425
46,0.001,0.1167
46,0.005,0.085
46,0.01,0.0715
46,0.05,0.0415
47,0.001,0.1154
47,0.005,0.0832
47,0.01,0.0713
47,0.05,0.0409
48,0.001,0.1165
48,0.005,0.082
48,0.01,0.0693
48,0.05,0.0402
49,0.001,0.111
49,0.005,0.0805
49,0.01,0.0679
49,0.05,0.0393
50,0.001,0.1069
50,0.005,0.0784
50,0.01,0.0666
50,0.05,0.0386
51,0.001,0.1057
51,0.005,0.0771
51,0.01,0.0651
51,0.05,0.0375
52,0.001,0.1052
52,0.005,0.0765
52,0.01,0.0643
52,0.05,0.0371
53,0.001,0.099
53,0.005,0.0733
53,0.01,0.0623
53,0.05,0.0362
54,0.001,0.0982
54,0.005,0.0721
54,0.01,0.0608
54,0.05,0.0356
55,0.001,0.0969
55,0.005,0.0721
55,0.01,0.06
55,0.05,0.0351
56,0.001,0.0977
56,0.005,0.0701
56,0.01,0.0595
56,0.05,0.0347
57,0.001,0.0952
57,0.005,0.0691
57,0.01,0.0586
57,0.05,0.034
58,0.001,0.0925
58,0.005,0.0676
58,0.01,0.0568
58,0.05,0.0332
59,0.001,0.0904
59,0.005,0.0664
59,0.01,0.0565
59,0.05,0.0325
60,0.001,0.089
60,0.005,0.065
60,0.01,0.0547
60,0.05,0.0322
61,0.001,0.0897
61,0.005,0.0647
61,0.01,0.0538
61,0.05,0.0316
62,0.001,0.088
62,0.005,0.0627
62,0.01,0.0529
62,0.05,0.0311
